Region,Text-to-text pricing,,model,input_price,output_price,Max RPM,Max TPM
us-west-2,,,amazon.titan-embed-text-v2:0,0.00002,,,
us-west-2,,,cohere.embed-english-v3,0.0001,,,
us-west-2,,,cohere.embed-multilingual-v3,0.0001,,,
us-west-2,Cohere Command R,us-west-2|Cohere Command R,cohere.command-r-v1:0,0.5,1.5,1.5,400
us-west-2,Cohere Command R+,us-west-2|Cohere Command R+,cohere.command-r-plus-v1:0,3,15,15,400
us-west-2,Llama 3.2 1B Instruct,us-west-2|Llama 3.2 1B Instruct,us.meta.llama3-2-1b-instruct-v1:0,0.1,0.1,0.1,800
us-west-2,Llama 3.2 3B Instruct,us-west-2|Llama 3.2 3B Instruct,us.meta.llama3-2-3b-instruct-v1:0,0.15,0.15,0.15,800
us-west-2,Llama 3.2 11B Instruct,us-west-2|Llama 3.2 11B Instruct,us.meta.llama3-2-11b-instruct-v1:0,0.35,0.35,0.35,400
us-west-2,Llama 3.2 90B Instruct,us-west-2|Llama 3.2 90B Instruct,us.meta.llama3-2-90b-instruct-v1:0,2,2,2,400
us-west-2,Mistral 7B Instruct,us-west-2|Mistral 7B Instruct,mistral.mistral-7b-instruct-v0:2,0.15,0.2,0.2,800
us-west-2,Mistral Large,us-west-2|Mistral Large,mistral.mistral-large-2402-v1:0,8,24,12,400
us-west-2,Amazon Nova Micro,us-west-2|Amazon Nova Micro,us.amazon.nova-micro-v1:0,0.035,0.14,2000,"4,000,000"
us-west-2,Amazon Nova Lite,us-west-2|Amazon Nova Lite,us.amazon.nova-lite-v1:0,0.06,0.24,2000,"4,000,000"
us-west-2,Amazon Nova Pro,us-west-2|Amazon Nova Pro,us.amazon.nova-pro-v1:0,0.8,3.2,200,"800,000"
,,,,,,,
,,,,,,,
Embedding Models,,,,,,,
Region,Model,,,Price per million Input tokens,Price per Image (Thousands),Max RPM,Max TPM
N.Virginia,Titan Embeddings - Text,N.Virginia|Titan Embeddings - Text,amazon.titan-embed-text-v1,0.1,,"2,000","300,000"
N.Virginia,Titan Embeddings V2 - Text,N.Virginia|Titan Embeddings V2 - Text,amazon.titan-embed-text-v2:0,0.02,,"2,000","300,000"
N.Virginia,Titan Embeddings - Multimodal,N.Virginia|Titan Embeddings - Multimodal,amazon.titan-embed-image-v1,0.8,0.06,"2,000","300,000"
N.Virginia,Cohere Embed English,N.Virginia|Cohere Embed English,cohere.embed-english-v3,0.1,,"2,000","300,000"
N.Virginia,Cohere Embed Multilingual,N.Virginia|Cohere Embed Multilingual,cohere.embed-multilingual-v3,0.1,,"2,000","300,000"
Oregon,Titan Embeddings - Text,Oregon|Titan Embeddings - Text,amazon.titan-embed-text-v1,0.1,,-,"2,000"
Oregon,Titan Embeddings V2 - Text,Oregon|Titan Embeddings V2 - Text,amazon.titan-embed-text-v2:0,0.02,,-,"2,000"
Oregon,Titan Embeddings - Multimodal,Oregon|Titan Embeddings - Multimodal,amazon.titan-embed-image-v1,0.8,0.06,0,"2,000"
Oregon,Cohere Embed English,Oregon|Cohere Embed English,cohere.embed-english-v3,0.1,,-,"2,000"
Oregon,Cohere Embed Multilingual,Oregon|Cohere Embed Multilingual,cohere.embed-multilingual-v3,0.1,,-,"2,000"
