Region,Text-to-text pricing,,model,input_price,output_price,Max RPM,Max TPM,Filter for RPM Table (Workload-1),Filter for RPM Table (Workload-2),Filter for RPM Table (Workload-3),Filter for TPM Table (Workload-1),Filter for TPM Table (Workload-2),Filter for TPM Table (Workload-3),,
us-west-2,Claude 3.5 Sonnet,us-west-2|Claude 3.5 Sonnet,anthropic.claude-3-5-sonnet-20240620-v1:0,3.000000,15.000000,250," 2,000,000 ",,,,,,,,
us-west-2,Claude 3 Opus,us-west-2|Claude 3 Opus,anthropic.claude-3-opus-20240229-v1:0,15.000000,75.000000,50," 400,000 ",#REF!,#REF!,#REF!,#REF!,,,,
us-west-2,Titan Text Express,us-west-2|Titan Text Express,amazon.titan-text-express-v1,0.200000,0.600000,0.6, 400 ,,,,,,,,
us-west-2,Titan Text Lite,us-west-2|Titan Text Lite,amazon.titan-text-lite-v1,0.150000,0.200000,0.2, 800 ,,,,,,,,
us-west-2,,,amazon.titan-embed-text-v1,0.000100,,,,,,,,,,,
us-west-2,,,amazon.titan-embed-text-v2:0,0.000020,,,,,,,,,,,
us-west-2,,,cohere.embed-english-v3,0.000100,,,,,,,,,,,
us-west-2,,,cohere.embed-multilingual-v3,0.000100,,,,,,,,,,,
us-west-2,Cohere Command Light,us-west-2|Cohere Command Light,cohere.command-light-text-v14,0.300000,0.600000,0.6, 800 ,,,,,,,,
us-west-2,Cohere Command,us-west-2|Cohere Command,cohere.command-text-v14,1.500000,2.000000,2, 400 ,,,,,,,,
us-west-2,Cohere Command R,us-west-2|Cohere Command R,cohere.command-r-v1:0,0.500000,1.500000,1.5, 400 ,,,,,,,,
us-west-2,Cohere Command R+,us-west-2|Cohere Command R+,cohere.command-r-plus-v1:0,3.000000,15.000000,15, 400 ,,,,,,,,
us-west-2,AI21 J2-Mid,us-west-2|AI21 J2-Mid,ai21.j2-mid-v1,12.500000,12.500000,12.5, 400 ,,,,,,,,
us-west-2,AI21 J2-Ultra,us-west-2|AI21 J2-Ultra,ai21.j2-ultra-v1,18.800000,18.800000,18.8, 100 ,,,,,,,,
us-west-2,Llama 2 Chat 13B,us-west-2|Llama 2 Chat 13B,,0.750000,1.000000,1, 800 ,,,,,,,,
us-west-2,Llama 2 Chat 70B,us-west-2|Llama 2 Chat 70B,,1.950000,2.560000,2.56, 400 ,,,,,,,,
us-west-2,Llama 3 8B Instruct,us-west-2|Llama 3 8B Instruct,meta.llama3-8b-instruct-v1:0,0.400000,0.600000,0.6, 800 ,,,,,,,,
us-west-2,Llama 3 70B Instruct,us-west-2|Llama 3 70B Instruct,meta.llama3-70b-instruct-v1:0,2.650000,3.500000,3.5, 800 ,,,,,,,,
us-west-2,Llama 3.1 8B Instruct,us-west-2|Llama 3.1 8B Instruct,meta.llama3-1-8b-instruct-v1:0,0.220000,0.220000,800," 300,000 ",,,,,,,,
us-west-2,Llama 3.1 70B Instruct,us-west-2|Llama 3.1 70B Instruct,meta.llama3-1-70b-instruct-v1:0,0.990000,0.990000,800," 300,000 ",,,,,,,,
us-west-2,Llama 3.1 405B Instruct,us-west-2|Llama 3.1 405B Instruct,meta.llama3-1-405b-instruct-v1:0,5.320000,16.000000,800," 300,000 ",,,,,,,,
us-west-2,Llama 3.2 1B Instruct,us-west-2|Llama 3.2 1B Instruct,meta.llama3-2-1b-instruct-v1:0,0.100000,0.100000,0.1, 800 ,,,,,,,,
us-west-2,Llama 3.2 3B Instruct,us-west-2|Llama 3.2 3B Instruct,meta.llama3-2-3b-instruct-v1:0,0.150000,0.150000,0.15, 800 ,,,,,,,,
us-west-2,Llama 3.2 11B Instruct,us-west-2|Llama 3.2 11B Instruct,meta.llama3-2-11b-instruct-v1:0,0.350000,0.350000,0.35, 400 ,,,,,,,,
us-west-2,Llama 3.2 90B Instruct,us-west-2|Llama 3.2 90B Instruct,meta.llama3-2-90b-instruct-v1:0,2.000000,2.000000,2, 400 ,,,,,,,,
us-west-2,Mistral 7B Instruct,us-west-2|Mistral 7B Instruct,mistral.mistral-7b-instruct-v0:2,0.150000,0.200000,0.2, 800 ,,,,,,,,
us-west-2,Mixtral 8X7B Instruct,us-west-2|Mixtral 8X7B Instruct,mistral.mixtral-8x7b-instruct-v0:1,0.450000,0.700000,0.7, 400 ,,,,,,,,
us-west-2,Mistral Large,us-west-2|Mistral Large,mistral.mistral-large-2402-v1:0,8.000000,24.000000,12, 400 ,,,,,,,,
Ohio,Claude 3 Haiku,Ohio|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Ohio,Claude 3.5 Sonnet,Ohio|Claude 3.5 Sonnet,,3.000000,15.000000,15, 50 ,,,,,,,,
Canada Central,Claude 3 Haiku,Canada Central|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Canada Central,Claude 3 Sonnet,Canada Central|Claude 3 Sonnet,,3.000000,15.000000,15, 500 ,,,,,,,,
Canada Central,Llama 3 8B Instruct,Canada Central|Llama 3 8B Instruct,,0.480000,0.720000,0.6, 800 ,,,,,,,,
Canada Central,Llama 3 70B Instruct,Canada Central|Llama 3 70B Instruct,,3.180000,4.200000,3.5, 800 ,,,,,,,,
Canada Central,Titan Text Express,Canada Central|Titan Text Express,,0.250000,0.788000,0.6, 400 ,,,,,,,,
Canada Central,Titan Text Lite,Canada Central|Titan Text Lite,,0.200000,0.250000,0.2, 800 ,,,,,,,,
Canada Central,Mistral 7B Instruct,Canada Central|Mistral 7B Instruct,,0.200000,0.260000,0.2, 800 ,,,,,,,,
Canada Central,Mixtral 8X7B Instruct,Canada Central|Mixtral 8X7B Instruct,,0.590000,0.910000,0.7, 400 ,,,,,,,,
Canada Central,Mistral Large,Canada Central|Mistral Large,,10.400000,31.200000,12, 400 ,,,,,,,,
Sao Paulo,Claude 3 Haiku,Sao Paulo|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Sao Paulo,Claude 3 Sonnet,Sao Paulo|Claude 3 Sonnet,,3.000000,15.000000,15, 500 ,,,,,,,,
Sao Paulo,Titan Text Express,Sao Paulo|Titan Text Express,,0.250000,0.788000,0.6, 400 ,,,,,,,,
Sao Paulo,Titan Text Lite,Sao Paulo|Titan Text Lite,,0.200000,0.250000,0.2, 800 ,,,,,,,,
Sao Paulo,Mistral 7B Instruct,Sao Paulo|Mistral 7B Instruct,,0.200000,0.260000,0.2, 800 ,,,,,,,,
Sao Paulo,Mixtral 8X7B Instruct,Sao Paulo|Mixtral 8X7B Instruct,,0.590000,0.910000,0.7, 400 ,,,,,,,,
Sao Paulo,Mistral Large,Sao Paulo|Mistral Large,,10.400000,31.200000,12, 400 ,,,,,,,,
Singapore,Claude v2.x,Singapore|Claude v2.x,,8.000000,24.000000,24, 500 ,,,,,,,,
Singapore,Claude Instant v1.x,Singapore|Claude Instant v1.x,,0.800000,2.400000,2.4," 1,000 ",,,,,,,,
Singapore,Claude 3 Haiku,Singapore|Claude 3 Haiku,,0.250000,1.250000,200," 200,000 ",,,,,,,,
Singapore,Claude 3 Sonnet,Singapore|Claude 3 Sonnet,,3.000000,15.000000,20," 200,000 ",,,,,,,,
Tokyo,Claude v2.x,Tokyo|Claude v2.x,,8.000000,24.000000,24, 500 ,,,,,,,,
Tokyo,Claude Instant v1.x,Tokyo|Claude Instant v1.x,,0.800000,2.400000,2.4," 1,000 ",,,,,,,,
Tokyo,Claude 3 Haiku,Tokyo|Claude 3 Haiku,,0.250000,1.250000,200," 200,000 ",,,,,,,,
Tokyo,Claude 3 Sonnet,Tokyo|Claude 3 Sonnet,,3.000000,15.000000,20," 200,000 ",,,,,,,,
Tokyo,Titan Text Express,Tokyo|Titan Text Express,,0.275000,0.825000,0.6, 400 ,,,,,,,,
Sydney,Claude 3 Haiku,Sydney|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Sydney,Claude 3 Sonnet,Sydney|Claude 3 Sonnet,,3.000000,15.000000,15, 500 ,,,,,,,,
Sydney,Titan Text Express,Sydney|Titan Text Express,,0.250000,0.788000,0.6, 400 ,,,,,,,,
Sydney,Titan Text Lite,Sydney|Titan Text Lite,,0.200000,0.250000,0.2, 800 ,,,,,,,,
Sydney,Mistral 7B Instruct,Sydney|Mistral 7B Instruct,,0.200000,0.260000,0.2, 800 ,,,,,,,,
Sydney,Mixtral 8X7B Instruct,Sydney|Mixtral 8X7B Instruct,,0.590000,0.910000,0.7, 400 ,,,,,,,,
Sydney,Mistral Large,Sydney|Mistral Large,,10.400000,31.200000,12, 400 ,,,,,,,,
